51300040454,bdg,45,47
51300090022,dfg,1,199
51300113340,edb,253,106
51300124340,agc,172,73
51300154402,egd,177,196
51300158000,bfb,208,167
51300174318,gbc,247,102
51300318129,dfb,32,60
51300336233,gcd,83,37
51300388549,dea,111,295
51300473423,bbc,68,134
51300474306,ffg,141,22
51300481725,ead,86,118
51300496265,eac,71,22
51300498669,dfb,82,68
51300527648,fad,127,41
51300544356,cbf,72,280
51300565330,dag,261,187
51300600351,cbf,155,226
51300625472,aad,160,188
51300636033,afa,161,271
51300641388,cgg,208,225
51300660553,cef,279,138
51300808824,ade,21,86
51300811447,bae,239,108
51300816827,cad,73,149
51300864778,adb,291,265
51300889839,gfd,278,288
51300932135,bag,274,126
51300963061,bef,100,55
51300969145,aed,53,75
51301000581,edf,274,106
51301041456,aef,149,220
51301050408,eec,130,69
51301050758,dfb,139,76
51301073152,acd,17,257
51301119396,cac,132,124
51301142798,aag,99,270
51301153495,eee,135,80
51301164399,gca,214,15
51301172298,ege,203,146
51301194236,dbc,77,283
51301194616,bfg,243,159
51301213886,abb,130,39
51301226949,ecb,47,76
51301356076,ccb,115,297
51301365566,bgf,87,233
51301384251,bdc,6,243
51301388394,egc,70,287
51301395405,ged,179,190
51301401160,dcf,71,258
51301420630,ccc,7,199
51301432976,eef,269,37
51301440643,gbd,280,213
51301448170,ebd,82,155
51301470950,bce,13,271
51301478231,aee,17,80
51301494331,cca,272,40
51301526019,bae,179,89
51301608124,dec,274,203
51301617784,ead,170,139
51301627698,eee,163,85
51301632342,cce,104,140
51301661095,gff,290,172
51301670961,fcb,212,183
51301740353,cfd,158,126
51301741659,agc,266,68
51301748352,ecd,264,252
51301781149,dgf,89,77
51301789562,gcb,260,241
51301789710,efa,25,91
51301831946,fbg,5,188
51301856674,efg,173,118
51301858337,cba,246,296
51301859499,gfc,31,185
51301888852,aff,82,209
51301899386,bfd,35,69
51301925518,aae,81,225
51301932692,fcf,208,157
51301992904,fea,266,225
51301993501,ddb,183,278
51302001603,eff,253,187
51302004070,cgb,110,56
51302029174,cfa,264,280
51302032799,bgd,114,121
51302037976,add,39,98
51302080115,bfb,63,148
51302091316,fde,233,194
51302106770,cag,11,107
51302138647,adc,205,81
51302222730,bcg,143,81
51302224352,bad,11,42
51302252119,gdb,128,146
51302296718,gag,116,255
51302296949,cec,103,128
51302357252,dae,230,220
51302357492,agc,79,70
51302361433,ggb,41,240
51302363784,gbd,42,193
51302405710,dbg,71,158
51302412047,gbc,236,96
51302417233,agd,218,16
51302493987,bce,214,243
51302532582,aad,46,199
51302541556,ebd,232,153
51302553308,fbc,247,184
51302606361,eaa,119,21
51302633813,bgb,145,227
51302646820,fbf,289,161
51302654534,dff,133,277
51302697025,fed,109,75
51302699714,dgc,14,49
51302707648,fbf,6,151
51302722823,dcf,236,237
51302759226,agg,19,45
51302762582,deb,181,148
51302795724,ecf,201,286
51302814702,bgd,30,114
51302816488,bbd,154,96
51302849356,ccc,286,220
51302942120,fdf,14,66
51302946848,ecc,6,265
51302950757,eaf,37,71
51302955288,gbd,10,171
51302973065,gbe,271,278
51302983963,ffc,93,270
51302993977,gcd,148,37
51303050447,aee,208,72
51303051181,aea,87,183
51303072454,bfd,38,78
51303073992,bac,12,275
51303074254,bcd,217,58
51303087101,abe,17,233
51303087287,bgc,177,229
51303087778,dbe,284,39
51303089793,bcg,232,64
51303101916,eeg,27,242
51303108138,abc,16,12
51303112026,gfe,37,20
51303122004,fag,67,119
51303129519,ged,69,191
51303191929,eff,82,164
51303211780,dcg,200,71
51303221405,dad,182,8
51303263671,def,147,51
51303271211,abb,113,41
51303286113,cab,196,156
51303288151,bfe,290,26
51303296956,fdf,135,74
51303376797,gdf,42,60
51303377753,adf,221,94
51303393823,fgg,52,41
51303395762,fbf,213,134
51303395791,eae,212,51
51303418216,adc,289,85
51303432109,dfd,262,158
51303451797,ggg,98,103
51303455547,gcg,178,128
51303461238,dac,215,185
51303471687,bag,37,117
51303506618,bcg,261,66
51303511292,dfg,205,210
51303525081,bgd,185,133
51303526478,dfb,242,64
51303556507,daa,173,69
51303562605,bag,231,136
51303575733,dcb,2,127
51303596952,aaa,121,290
51303663931,gbb,76,281
51303767247,fbb,125,197
51303772941,gad,48,144
51303795034,fba,245,223
51303831013,cdc,245,129
51303836448,fbc,168,185
51303849943,gdg,85,150
51303923689,ced,284,296
51303927006,eeb,198,152
51303929829,dea,127,274
51303935717,aeb,116,184
51303952079,deg,103,283
51303971334,ggc,70,119
51303974382,edb,235,113
51303992089,ded,88,276
51303996066,gdf,73,52
51304001776,ege,159,140
51304004778,bgb,270,263
51304013573,dgd,122,124
51304029993,fgb,172,161
51304062650,ega,83,97
51304115042,gcg,191,119
51304130859,fgd,102,59
51304161848,fbd,241,117
51304190104,eab,162,249
51304197744,ggc,278,123
51304226208,fec,4,26
51304233040,dab,38,165
51304236560,bce,180,245
51304243917,egb,163,96
51304248291,afa,104,224
51304251503,ede,177,240
51304258261,afc,96,48
51304260506,ecg,292,111
51304262197,cba,56,296
51304282290,cdg,267,218
51304286711,ffb,240,184
51304296235,dca,288,128
51304317974,dgd,49,111
51304356137,bdd,212,61
51304359013,gac,163,277
51304400270,dcf,279,251
51304415023,cfg,2,50
51304417969,gdc,84,177
51304424869,geg,140,29
51304426450,ada,143,108
51304440578,gfb,157,297
51304508420,fgc,198,156
51304529881,cff,183,221
51304534785,gdc,233,185
51304540770,ceg,72,228
51304546799,fbd,117,107
51304555260,bbb,268,287
51304589806,baf,205,292
51304639120,afe,224,45
51304641609,dda,190,205
51304645141,dgc,123,44
51304646835,eef,163,32
51304654192,ebb,35,51
51304655240,cfb,127,147
51304666649,abe,112,198
51304668575,bcg,266,71
51304675582,acd,75,241
51304690435,aea,166,175
51304712212,bgg,60,288
51304724299,edf,215,122
51304735869,cga,117,53
51304737175,bfa,297,262
51304738621,gaf,24,12
51304755625,caf,239,226
51304762045,ddf,267,65
51304806279,cda,252,40
51304810866,fdc,193,164
51304824937,cfc,296,217
51304850861,acf,116,189
51304889516,edc,251,239
51304890058,daf,93,83
51304918282,ccd,184,81
51304948585,ece,35,197
51304962035,dbg,269,180
51304973324,dgg,3,118
51304991069,ebf,72,119
51305030182,cee,299,202
51305049984,age,210,76
51305078360,cgf,289,146
51305096011,eaa,248,18
51305106371,fae,293,232
51305121092,aed,93,81
51305138436,ffe,267,143
51305164565,fac,148,283
51305197037,gec,137,281
51305199243,feg,74,69
51305211794,bdb,85,32
51305241481,fgf,34,58
51305241516,bed,134,205
51305254768,efc,183,57
51305256211,gcc,47,19
51305276004,aaa,119,243
51305297225,eeg,277,210
51305351761,aed,281,77
51305364140,fbe,149,177
51305373130,bca,273,10
51305531154,bcg,292,56
51305551875,gfg,194,277
51305562211,efc,165,59
51305564858,eda,262,271
51305577652,ggg,22,114
51305580253,cdd,45,117
51305588380,abb,166,38
51305597067,acg,30,180
51305625712,dbb,241,95
51305633754,aec,290,66
51305685209,ffg,141,20
51305687937,dee,222,289
51305699979,eed,258,146
51305716448,dga,269,86
51305752692,ggc,125,146
51305755136,cac,145,121
51305759655,fge,261,69
51305801093,dcf,123,210
51305835392,dge,1,96
51305836459,adb,82,312
51305852009,afg,15,196
51305859309,efg,233,101
51305869034,bfb,210,153
51305922607,egf,129,239
51305951558,bga,154,273
51305953115,bde,116,66
51305968163,efb,256,25
51306002641,dcf,130,245
51306014713,dag,286,173
51306025800,ffg,125,16
51306033459,eec,202,65
51306039117,gcb,261,233
51306083830,fgb,189,151
51306083842,beg,145,230
51306084147,daa,200,77
51306089602,eba,36,282
51306103628,bgd,261,125
51306104666,dab,157,136
51306114221,feb,43,217
51306130933,cbe,173,284
51306144577,gdf,231,53
51306157814,aff,117,192
51306160550,bec,127,298
51306174746,fdb,57,292
51306190884,fac,171,243
51306199370,ged,35,169
51306231540,cgb,167,53
51306256626,ccb,116,353
51306258696,fcf,246,164
51306259921,ccb,28,356
51306270574,egf,110,207
51306291346,ddf,51,66
51306301560,fga,267,160
51306309080,fbg,284,195
51306317456,acd,257,238
51306334954,fbg,185,210
51306341814,gad,80,142
51306351371,dde,4,126
51306356816,bbc,63,129
51306360846,feb,227,195
51306374499,ccf,254,179
51306374524,cdc,183,122
51306385193,fed,234,74
51306386335,add,15,109
51306405081,efa,199,79
51306438479,dbd,122,116
51306463616,caa,138,103
51306480521,gba,16,74
51306480917,baa,128,137
51306482407,afd,55,243
51306485720,ffd,211,75
51306516491,ccc,282,215
51306518142,bbf,75,287
51306525339,cge,160,222
51306525567,cef,150,140
51306546376,eac,215,24
51306549258,bfc,232,240
51306560651,bcf,217,163
51306564566,gab,179,53
51306575708,geb,261,155
51306577097,dcd,39,7
51306600402,eag,154,153
51306602933,eea,202,291
51306612719,caa,252,104
51306626784,aef,244,195
51306634725,dab,132,161
51306637079,bge,31,82
51306662222,gea,179,37
51306697998,fcd,58,150
51306699794,fda,223,192
51306721749,bdg,16,44
51306725380,cae,288,264
